"","Plot_ID","n_months","var_name","sim_value","obs_value","residual_value"
"133",28,661,"stems_n",567,588,21
"134",29,72,"stems_n",2745,3627,882
"135",29,145,"stems_n",2324,2725,401
"136",29,241,"stems_n",1816,2324,508
"137",29,289,"stems_n",1736,1816,80
"138",29,337,"stems_n",1416,1736,320
"139",29,421,"stems_n",1202,1416,214
"140",29,528,"stems_n",1015,1202,187
"141",29,661,"stems_n",801,1015,214
"142",30,72,"stems_n",3628,3846,218
"143",30,94,"stems_n",1526,3629,2103
"144",30,145,"stems_n",1526,1526,2.27373675443232e-13
"145",30,241,"stems_n",603,1526,923
"146",30,289,"stems_n",603,603,0
"147",30,337,"stems_n",603,603,0
"148",30,421,"stems_n",603,603,0
"149",30,528,"stems_n",590,603,13
"150",30,661,"stems_n",590,590,0
"151",31,72,"stems_n",3730,3880,150
"152",31,145,"stems_n",3130,3730,600
"153",31,241,"stems_n",2915,3130,215
"154",31,289,"stems_n",2830,2916,86
"155",31,337,"stems_n",2562,2830,268
"156",31,421,"stems_n",2347,2561,214
"157",31,528,"stems_n",1822,2347,525
"158",31,661,"stems_n",1275,1822,547
"159",32,72,"stems_n",4000,4233,233
"160",32,145,"stems_n",1714,4000,2286
"161",32,241,"stems_n",1026,1714,688
"162",32,289,"stems_n",1026,1026,0
"163",32,337,"stems_n",730,1026,296
"164",32,421,"stems_n",709,730,21
"165",32,528,"stems_n",709,709,0
"166",32,661,"stems_n",688,709,21
"167",33,61,"stems_n",1317,1527,210
"168",33,120,"stems_n",878,1317,439
"169",34,61,"stems_n",841,1287,446
"170",34,120,"stems_n",598,841,243
"171",35,61,"stems_n",1508,1948,440
"172",35,120,"stems_n",1059,1509,450
"173",36,61,"stems_n",2515,3276,761
"174",36,120,"stems_n",2033,2515,482
"175",37,61,"stems_n",2981,3472,491
"176",37,120,"stems_n",2501,2981,480
"177",38,97,"stems_n",2380,3446,1066
"178",38,182,"stems_n",1807,2380,573
"179",38,289,"stems_n",1116,1807,691
"180",38,397,"stems_n",415,1116,701
"181",38,505,"stems_n",316,414,97.9999999999999
"182",39,97,"stems_n",850,1530,680
"183",39,182,"stems_n",540,850,310
"184",39,289,"stems_n",380,540,160
"185",39,349,"stems_n",290,380,90
"186",39,505,"stems_n",240,290,50
"187",40,97,"stems_n",870,870,0
"188",40,182,"stems_n",840,870,30
"189",40,289,"stems_n",810,840,30
"190",40,397,"stems_n",460,810,350
"191",40,505,"stems_n",450,460,10
"192",41,97,"stems_n",960,2180,1220
"193",41,182,"stems_n",800,960,160
"194",41,289,"stems_n",490,800,310
"195",41,397,"stems_n",430,490,60
"196",41,505,"stems_n",300,430,130
"197",42,97,"stems_n",1169,2059,890
"198",42,182,"stems_n",820,1170,350
"199",42,289,"stems_n",580,820,240
"200",42,397,"stems_n",360,580,220
"201",42,505,"stems_n",260,360,100
"202",43,97,"stems_n",1370,1400,30
"203",43,182,"stems_n",680,1370,690
"204",43,289,"stems_n",630,680,50
"205",43,397,"stems_n",250,630,380
"206",43,505,"stems_n",200,250,50
"207",44,97,"stems_n",2590,2910,320
"208",44,182,"stems_n",2000,2590,590
"209",44,289,"stems_n",1390,2000,610
"210",44,397,"stems_n",490,1390,900
"211",44,505,"stems_n",360,490,130
"212",45,97,"stems_n",890,1980,1090
"213",45,182,"stems_n",780,890,110
"214",45,289,"stems_n",470,780,310
"215",45,397,"stems_n",420,470,50
"216",45,505,"stems_n",370,420,50
"217",46,85,"stems_n",1270,2260,990
"218",46,144,"stems_n",1230,1270,40
"219",46,205,"stems_n",580,1230,650
"220",46,348,"stems_n",390,580,190
"221",46,420,"stems_n",390,390,0
"222",46,494,"stems_n",330,390,60
"223",47,85,"stems_n",1060,1830,770
"224",47,144,"stems_n",1050,1060,10
"225",47,205,"stems_n",630,1050,420
"226",47,348,"stems_n",470,630,160
"227",47,420,"stems_n",470,470,0
"228",47,494,"stems_n",360,470,110
"229",48,85,"stems_n",1870,1890,20
"230",48,144,"stems_n",1750,1870,120
"231",48,205,"stems_n",1630,1750,120
"232",48,348,"stems_n",1300,1630,330
"233",48,420,"stems_n",1070,1300,230
"234",48,494,"stems_n",970,1070,100
"235",49,85,"stems_n",2470,2500,30
"236",49,144,"stems_n",2440,2470,30
"237",49,205,"stems_n",970,2440,1470
"238",49,348,"stems_n",520,970,450
"239",49,420,"stems_n",520,520,1.13686837721616e-13
"240",49,495,"stems_n",430,520,90
"241",50,85,"stems_n",1920,2150,230
"242",50,144,"stems_n",1860,1920,60
"243",50,205,"stems_n",1300,1860,560
"244",50,348,"stems_n",990,1300,310
"245",50,420,"stems_n",960,990,30
"246",50,495,"stems_n",720,960,240
"247",51,85,"stems_n",740,1740,1000
"248",51,144,"stems_n",740,740,1.13686837721616e-13
"249",51,205,"stems_n",740,740,1.13686837721616e-13
"250",51,348,"stems_n",350,740,390
"251",51,420,"stems_n",350,350,0
"252",51,495,"stems_n",350,350,0
"253",52,85,"stems_n",570,2210,1640
"254",52,144,"stems_n",560,570,10
"255",52,205,"stems_n",560,560,0
"256",52,348,"stems_n",560,560,0
"257",52,420,"stems_n",560,560,0
"258",52,495,"stems_n",560,560,0
"259",53,85,"stems_n",1000,1800,800
"260",53,144,"stems_n",1000,1000,0
"261",53,205,"stems_n",480,1000,520
"262",53,348,"stems_n",333,480,147
"263",53,420,"stems_n",320,333,13
"264",53,495,"stems_n",253,320,67
"265",54,85,"stems_n",720,1790,1070
"266",54,144,"stems_n",710,720,10
"267",54,205,"stems_n",710,710,0
"268",54,348,"stems_n",350,710,360
"269",54,420,"stems_n",350,350,0
"270",54,495,"stems_n",350,350,0
"271",55,85,"stems_n",650,2100,1450
"272",55,144,"stems_n",640,650,10
"273",55,205,"stems_n",380,640,260
"274",55,348,"stems_n",260,380,120
"275",55,420,"stems_n",260,260,0
"276",55,495,"stems_n",180,260,80
"277",56,85,"stems_n",1590,1590,0
"278",56,144,"stems_n",1590,1590,0
"279",56,205,"stems_n",850,1590,740
"280",56,348,"stems_n",610,850,240
"281",56,420,"stems_n",600,610,10
"282",56,495,"stems_n",430,600,170
"283",57,85,"stems_n",2210,2230,20
"284",57,144,"stems_n",2180,2210,30
"285",57,205,"stems_n",2100,2180,80
"286",57,348,"stems_n",1900,2100,200
"287",57,420,"stems_n",1700,1900,200
"288",57,495,"stems_n",1610,1700,90
"289",1,72,"basal_area",24.3817522838754,25.5,1.11824771612461
"290",1,171,"basal_area",19.0681122719762,31.2,12.1318877280238
"291",1,209,"basal_area",22.5254809525938,24,1.47451904740616
"292",2,72,"basal_area",28.2517309999902,28.8,0.548269000009785
"293",2,168,"basal_area",27.9152464227811,30.3,2.38475357721888
"294",2,239,"basal_area",29.4153972221675,29.2999999999999,-0.115397222167552
"295",2,275,"basal_area",28.6678107389478,26.4,-2.26781073894776
"296",2,397,"basal_area",34.7253862750372,34.5,-0.225386275037245
"297",3,72,"basal_area",24.2508412544713,28.9,4.64915874552866
"298",3,168,"basal_area",25.4822662462334,33.2,7.71773375376665
"299",3,239,"basal_area",27.2778029591759,31.3,4.02219704082411
"300",3,275,"basal_area",25.5373289564895,25.4,-0.137328956489487
"301",3,397,"basal_area",34.0847564718082,35.9,1.81524352819176
"302",4,72,"basal_area",16.9766826762905,23.6,6.62331732370951
"303",4,168,"basal_area",21.2529005759765,28.4,7.14709942402353
"304",4,239,"basal_area",19.8025931794631,25.7,5.89740682053687
"305",5,72,"basal_area",26.6129708569427,28.4,1.78702914305729
"306",5,168,"basal_area",27.3395022212321,29.7999999999999,2.46049777876779
"307",5,239,"basal_area",28.4873505694294,26.9,-1.58735056942938
"308",5,275,"basal_area",25.3884191350288,22.5,-2.88841913502885
"309",5,400,"basal_area",35.0000195187567,28.7,-6.30001951875667
"310",6,72,"basal_area",27.9702033500519,34.9,6.92979664994807
"311",6,168,"basal_area",29.4222073150517,45.8,16.3777926849483
"312",6,209,"basal_area",25.049305317128,34.2,9.15069468287199
"313",7,72,"basal_area",23.7848437642993,30.4,6.61515623570067
"314",7,168,"basal_area",26.2820882735025,36.7999999999999,10.5179117264974
"315",7,209,"basal_area",28.9526878614587,30,1.0473121385413
"316",8,72,"basal_area",35.3623417076994,38.2999999999999,2.93765829230055
"317",8,168,"basal_area",32.2064887900825,41.3,9.09351120991752
"318",8,240,"basal_area",30.3193823994502,36.2999999999999,5.98061760054967
"319",8,275,"basal_area",31.9693872178518,36.9,4.93061278214817
"320",8,398,"basal_area",40.6808186119051,45.8,5.11918138809489
"321",9,72,"basal_area",29.3423496343056,35.9,6.55765036569442
"322",9,171,"basal_area",22.4224256584303,45.4,22.9775743415697
"323",9,240,"basal_area",29.0307445329299,39,9.96925546707009
"324",9,275,"basal_area",24.4806030444536,21.3,-3.18060304445359
"325",9,398,"basal_area",32.1689522973271,27.0999999999999,-5.06895229732721
"326",10,72,"basal_area",26.0652185257963,29.7,3.63478147420367
"327",10,171,"basal_area",22.0627903384991,37.2,15.1372096615009
"328",10,240,"basal_area",28.7091180545517,31.1,2.39088194544826
"329",10,275,"basal_area",26.3457443515474,23.2,-3.14574435154743
"330",10,398,"basal_area",35.9332522493968,32,-3.93325224939677
"331",11,72,"basal_area",38.6446306779838,37.7,-0.944630677983845
"332",11,171,"basal_area",28.2691316379891,40,11.7308683620109
"333",11,209,"basal_area",31.7554619806894,29.5,-2.25546198068944
"334",12,72,"basal_area",37.3267137141212,37.9,0.573286285878808
"335",12,171,"basal_area",25.9475692832395,39.1,13.1524307167605
"336",12,209,"basal_area",29.4324184097919,28.2,-1.23241840979188
"337",13,72,"basal_area",30.1510223766278,31.2,1.04897762337217
"338",13,171,"basal_area",22.2894948209171,37.4,15.1105051790829
"339",13,209,"basal_area",25.6408380617153,26.7,1.05916193828467
"340",14,72,"basal_area",38.0230263613208,38.7999999999999,0.77697363867911
"341",14,171,"basal_area",25.492072385864,40.7999999999999,15.3079276141359
"342",14,239,"basal_area",32.148768922037,31.2999999999999,-0.84876892203707
"343",14,275,"basal_area",27.6312082643606,31.7,4.06879173563938
"344",14,398,"basal_area",36.6883081908198,32.5,-4.1883081908198
"345",15,72,"basal_area",31.9558929344594,34.5,2.54410706554064
"346",15,171,"basal_area",23.3432419156032,37.1,13.7567580843968
"347",15,239,"basal_area",30.1669613630274,31.1,0.933038636972611
"348",15,275,"basal_area",29.5051591600939,27.8,-1.70515916009386
"349",15,398,"basal_area",35.010443312729,35,-0.0104433127289738
"350",16,72,"basal_area",38.9115988495276,37.6,-1.31159884952763
"351",16,171,"basal_area",26.7292602162254,42.0999999999999,15.3707397837745
