"","age","stems_n","basal_area","basal_area_prop","dbh","height","height_rel","crown_length","crown_width","volume","volume_mai","volume_change","volume_cum","var_2_14","var_2_15"
"1",0,2900,0.553762219971001,1,1.55925706972943,5.66365463726999,1,4.20910905562516,2.68275094465908,0.632911392405063,Inf,0,0.632911392405063,0,0
"2",0.0833333333333333,2900,0.562437205930137,1,1.57142291321032,5.68454984981684,1,4.21015284116337,2.68273304458051,0.644166137289213,7.72999364747056,0.0112547448841502,0.644166137289213,0,0
"3",0.166666666666667,2900,0.562437205930137,1,1.57142291321032,5.68454984981684,1,4.21015284116337,2.68273304458051,0.688177720124442,4.12906632074665,0.0440115828352288,0.688177720124442,0,0
"4",0.25,2900,0.56971982288149,1,1.58156383522385,5.70190223895576,1,4.21101693466762,2.68271822952273,0.741677805422022,2.96671122168809,0.0535000852975793,0.741677805422022,0,0
"5",0.333333333333333,2900,0.580180121966574,1,1.59601688939799,5.72653235764284,1,4.21223923396654,2.68269727828461,0.800168820647537,2.40050646194261,0.0584910152255159,0.800168820647537,0,0
"6",0.416666666666667,2900,0.587335402908291,1,1.6058284583399,5.74318588784292,1,4.2130629100858,2.68268316330389,0.853758938471226,2.04902145233094,0.0535901178236886,0.853758938471226,0,0
"7",0.5,2900,0.838467240694723,1,1.91866480844515,6.24854965190111,1,4.23705444635158,2.68227326940029,1.33999713567635,2.6799942713527,0.486238197205123,1.33999713567635,0,0
"8",0.583333333333333,2900,1.20278401102167,1,2.29799925453005,6.80618069487784,1,4.26151154625764,2.68185786732044,2.1076120669421,3.61304925761502,0.767614931265747,2.1076120669421,0,0
"9",0.666666666666667,2900,1.63465952628898,1,2.67898150408555,7.31929677466575,1,4.28241786335003,2.68150471124583,3.10863042796626,4.66294564194939,1.00101836102416,3.10863042796626,0,0
"10",0.75,2900,1.89920333968017,1,2.88763164814574,7.58407631623574,1,4.29267677748306,2.68133206146388,3.8279233104892,5.10389774731894,0.719292882522947,3.8279233104892,0,0
"11",0.833333333333333,2900,2.0691133429424,1,3.01403437412008,7.73960511983484,1,4.29854808429572,2.68123344233938,4.37153253591885,5.24583904310262,0.54360922542965,4.37153253591885,0,0
"12",0.916666666666667,2900,2.19655668357286,1,3.10546949718924,7.84998015724494,1,4.30264842101797,2.68116465183188,4.83716938798331,5.27691205961816,0.465636852064457,4.83716938798331,0,0
"13",1,2900,2.28259068155981,1,3.16570236245883,7.92175778920512,1,4.30528614071611,2.6811204349234,5.21399432543867,5.21399432543867,0.376824937455357,5.21399432543867,0,0
"14",1.08333333333333,2900,2.30220167123715,1,3.17927242131547,7.93782937085519,1,4.30587369184699,2.68111058941123,5.42318221012264,5.00601434780551,0.209187884683969,5.42318221012264,0,0
"15",1.16666666666667,2900,2.30486687661767,1,3.18111217391386,7.94000548531386,1,4.30595316178484,2.68110925785051,5.58435773687561,4.78659234589338,0.161175526752972,5.58435773687561,0,0
"16",1.25,2900,2.30486687661767,1,3.18111217391386,7.94000548531386,1,4.30595316178484,2.68110925785051,5.7340277756711,4.58722222053688,0.149670038795489,5.7340277756711,0,0
"17",1.33333333333333,2900,2.3188571620329,1,3.19075206619938,7.95139702818018,1,4.30636884049433,2.68110229334571,5.91992129430448,4.43994097072836,0.185893518633385,5.91992129430448,0,0
"18",1.41666666666667,2900,2.34202762591377,1,3.20665374397451,7.97014867291913,1,4.3070518820501,2.68109085079896,6.130897808173,4.32769257047506,0.210976513868514,6.130897808173,0,0
"19",1.5,2900,2.52531135579809,1,3.32976455652651,8.11369778344469,1,4.31223165068233,2.6810041381357,6.82997715630809,4.5533181042054,0.699079348135097,6.82997715630809,0,0
"20",1.58333333333333,2900,2.95741306958186,1,3.60339651546195,8.42306580262012,1,4.3231102255719,2.68082237147341,8.34657846742941,5.27152324258699,1.51660131112131,8.34657846742941,0,0
"21",1.66666666666667,2900,3.23774254306969,1,3.77031135683525,8.60573487416539,1,4.32935986233802,2.68071816058111,9.43971519503488,5.66382911702093,1.09313672760547,9.43971519503488,0,0
"22",1.75,2900,3.24601585021631,1,3.77512536571596,8.61093946044649,1,4.32953610725902,2.68071522398798,9.65263908704598,5.51579376402627,0.212923892011098,9.65263908704598,0,0
"23",1.83333333333333,2900,3.54162974597903,1,3.94328020500439,8.79059349494818,1,4.33555969613934,2.6806149326669,10.8543926359223,5.92057780141215,1.2017535488763,10.8543926359223,0,0
"24",1.91666666666667,2900,3.67032495242818,1,4.01428607078544,8.86524276938953,1,4.33802889359212,2.68057386246004,11.5040619225186,6.00211926392273,0.649669286596287,11.5040619225186,0,0
"25",2,2900,3.72526999633519,1,4.04422153692881,8.89650594371706,1,4.33905723857353,2.68055676505929,11.8984675974306,5.9492337987153,0.394405674912043,11.8984675974306,0,0
"26",2.08333333333333,2900,3.73730332834646,1,4.05074807382356,8.90330576428138,1,4.33928045992765,2.68055305430095,12.1360302467451,5.82529451843766,0.237562649314516,12.1360302467451,0,0
"27",2.16666666666667,2900,3.74408252943226,1,4.05442029301641,8.90712921503896,1,4.3394059045657,2.6805509690366,12.3498322650517,5.69992258387003,0.213802018306602,12.3498322650517,0,0
"28",2.25,2900,3.74408252943226,1,4.05442029301641,8.90712921503896,1,4.3394059045657,2.6805509690366,12.533292796281,5.57035235390267,0.183460531229272,12.533292796281,0,0
"29",2.33333333333333,2900,3.75088392643151,1,4.05810119612631,8.91095987913928,1,4.33953153551379,2.68054888073726,12.7377182571239,5.45902211019595,0.204425460842879,12.7377182571239,0,0
